date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
00:46:28	93435/93435	---M--	200	added ('OK')	text/javascript	date:Tue,%2003%20Mar%202020%2019:15:00%20GMT	https://ajax.googleapis.com/ajax/libs/jquery/1.8.2/jquery.min.js	/storage/emulated/0/HTTrack/Websites/BTC%20F%c4%b0NANCE/ajax.googleapis.com/ajax/libs/jquery/1.8.2/jquery.min.js	(from https://b.btcminners.com/?a=rules)
00:46:28	4163/4163	---M-Z	200	added ('OK')	text/html	date:Sat,%2009%20Jul%202022%2021:46:27%20GMT	https://b.btcminners.com/?a=news	/storage/emulated/0/HTTrack/Websites/BTC%20F%c4%b0NANCE/b.btcminners.com/index56ca.html	(from https://b.btcminners.com/?a=forgot_password)
00:46:28	1238/1238	---M--	404	error ('Not%20Found')	text/html	date:Sat,%2009%20Jul%202022%2021:46:29%20GMT	https://b.btcminners.com/indexcca3.html?a=signup	/storage/emulated/0/HTTrack/Websites/BTC%20F%c4%b0NANCE/b.btcminners.com/indexcca3cca3.html	(from https://b.btcminners.com/?a=faq)
00:46:29	1238/1238	---M--	404	error ('Not%20Found')	text/html	date:Sat,%2009%20Jul%202022%2021:46:30%20GMT	https://b.btcminners.com/index8083.html?a=forgot_password	/storage/emulated/0/HTTrack/Websites/BTC%20F%c4%b0NANCE/b.btcminners.com/index80838083.html	(from https://b.btcminners.com/?a=faq)
00:46:30	2824/2824	---M--	200	added ('OK')	image/png	date:Thu,%2027%20Sep%202018%2011:15:58%20GMT	https://b.btcminners.com/styles/assets/images/ref_left_icon.png	/storage/emulated/0/HTTrack/Websites/BTC%20F%c4%b0NANCE/b.btcminners.com/styles/assets/images/ref_left_icon.png	(from https://b.btcminners.com/?a=affiliate)
00:46:31	6380/6380	---M-Z	200	added ('OK')	text/html	date:Sat,%2009%20Jul%202022%2021:46:31%20GMT	https://b.btcminners.com/?a=deposit	/storage/emulated/0/HTTrack/Websites/BTC%20F%c4%b0NANCE/b.btcminners.com/index2017.html	(from https://b.btcminners.com/?a=cust&page=investment)
00:46:31	5520/5520	---M--	200	added ('OK')	image/png	date:Thu,%2027%20Sep%202018%2011:15:30%20GMT	https://b.btcminners.com/styles/assets/images/ref_right_icon.png	/storage/emulated/0/HTTrack/Websites/BTC%20F%c4%b0NANCE/b.btcminners.com/styles/assets/images/ref_right_icon.png	(from https://b.btcminners.com/?a=affiliate)
00:46:32	1238/1238	---M--	404	error ('Not%20Found')	text/html	date:Sat,%2009%20Jul%202022%2021:46:33%20GMT	https://b.btcminners.com/indexbc14.html?a=home	/storage/emulated/0/HTTrack/Websites/BTC%20F%c4%b0NANCE/b.btcminners.com/indexbc14bc14.html	(from https://b.btcminners.com/?a=news)
00:46:33	9371/9371	---M--	200	added ('OK')	image/png	date:Thu,%2028%20Feb%202019%2004:52:28%20GMT	https://b.btcminners.com/styles/assets/images/logo1.png	/storage/emulated/0/HTTrack/Websites/BTC%20F%c4%b0NANCE/b.btcminners.com/styles/assets/images/logo1.png	(from https://b.btcminners.com/styles/assets/custom.css)
00:46:35	45450/45450	---M--	200	added ('OK')	image/png	date:Tue,%2030%20Aug%202016%2012:13:14%20GMT	https://b.btcminners.com/styles/assets/images/icon_mess.png	/storage/emulated/0/HTTrack/Websites/BTC%20F%c4%b0NANCE/b.btcminners.com/styles/assets/images/icon_mess.png	(from https://b.btcminners.com/styles/assets/custom.css)
